,collection,shelfmark,testimony_title
0,USHMM,RG-50.062*0008,Crystal Night oral history interview
1,USHMM,RG-50.030*0336,Oral history interview with Theodore Feder and Herbert Katzki
2,USHMM,RG-50.030*0535,"Oral history interview with Lucie Ragin, Joyce Mizrachi, and André Zalc"
3,USHMM,RG-50.165*0036,Oral history interview with Isaac Goodfriend and Betty Goodfriend
4,USHMM,RG-50.549.02*0014,Oral history interview with Chaim Engel and Selma Saartje Engel
5,USHMM,RG-50.156*0007,Oral history interview with Mary Ackos Calof and Evelyn Ackos Ettinger
6,USHMM,RG-50.165*0062,"Oral history interview with Yisroel Leifer, Izzy Raab, and Esther Raab"
7,USHMM,RG-50.165*0081,Oral history interview with Sam Natansohn and Sidi Natansohn
8,USHMM,RG-50.549.02*0015,Oral history interview with Johanna Liebmann and Max Liebmann
9,USHMM,RG-50.234*0022,"Oral history interview with Arieh Pinchuk, Dan Hiram, and Daniel Dagen"
10,USHMM,RG-50.062*0027,Panel discussion with Holocaust survivors and members of the 522nd Field Artillery Battalion
11,USHMM,RG-50.062*0026,Oral history interview with members of the 522nd Field Artillery Battalion
12,USHMM,RG-50.165*0086,Oral history interview with Arthur Nunberg and Blima Nunberg
